X,gene,within_across_fold_weighted_score,rank
1,NFKBIZ,0.054203679,1
2,COL11A1,0.0306273568,0.995594713656388
3,IGFBP3,0.0297563046,0.991189427312775
4,CXCL8,0.0286264168,0.986784140969163
5,POSTN,0.0276070074,0.982378854625551
6,MCL1,0.0266280249,0.977973568281938
7,FNDC1,0.0250046388,0.973568281938326
8,CCL4,0.0227833551,0.966960352422907
9,CCL5,0.0227833551,0.966960352422907
10,HLA-DRA,0.0223226289,0.960352422907489
11,RPL13P12,0.021825093,0.955947136563877
12,ATF3,0.0199705845,0.951541850220264
13,HMGCS1,0.0192823038,0.947136563876652
14,DIO2,0.0189812604,0.94273127753304
15,ARL6IP1,0.0186781548,0.929515418502203
16,ASPM,0.0186781548,0.929515418502203
17,CENPF,0.0186781548,0.929515418502203
18,MKI67,0.0186781548,0.929515418502203
19,TOP2A,0.0186781548,0.929515418502203
20,ELF3,0.0176552388,0.911894273127753
21,ENSG00000285417.1,0.0176552388,0.911894273127753
22,SAT1,0.0176552388,0.911894273127753
23,NFATC2,0.0175905376,0.903083700440529
24,ENSG00000202198.1,0.015911285,0.89647577092511
25,RN7SK,0.015911285,0.89647577092511
26,COL12A1,0.0159003492,0.889867841409692
27,COL1A1,0.0154419,0.883259911894273
28,COL3A1,0.0154419,0.883259911894273
29,SLC26A7,0.0146274105,0.876651982378855
30,C1QA,0.0143683404,0.870044052863436
31,C1QC,0.0143683404,0.870044052863436
32,ACTB,0.0130476501,0.863436123348018
33,PAGE4,0.0124776858,0.859030837004405
34,RPL23AP42,0.0119643006,0.854625550660793
35,CD74,0.0119161041,0.850220264317181
36,CNTN1,0.0118613118,0.845814977973568
37,VIM,0.0117369117,0.841409691629956
38,RPL7AP6,0.0111587862,0.837004405286344
39,CXCL2,0.0111141471,0.832599118942731
40,TNC,0.0110476149,0.828193832599119
41,DST,0.0105027561,0.823788546255507
42,FAT4,0.0104704522,0.819383259911894
43,COL4A1,0.0103596585,0.812775330396476
44,COL6A3,0.0103596585,0.812775330396476
45,A2M,0.0101394174,0.806167400881057
46,CCNB1,0.0101118396,0.786343612334802
47,CDC20,0.0101118396,0.786343612334802
48,ENSG00000260342.2,0.0101118396,0.786343612334802
49,KPNA2,0.0101118396,0.786343612334802
50,PTTG1,0.0101118396,0.786343612334802
51,TUBA1C,0.0101118396,0.786343612334802
52,TUBB4B,0.0101118396,0.786343612334802
53,UBE2C,0.0101118396,0.786343612334802
54,SERPINE1,0.0095981316,0.766519823788546
55,BHLHE40,0.0091163774,0.762114537444934
56,LINC-PINT,0.0085255866,0.757709251101322
57,IFI27,0.0081886266,0.751101321585903
58,IFI6,0.0081886266,0.751101321585903
59,CALB2,0.0081669306,0.744493392070485
60,JUNB,0.0075648422,0.737885462555066
61,ZFP36,0.0075648422,0.737885462555066
62,KNL1,0.0075294798,0.731277533039648
63,WFDC2,0.0066573652,0.726872246696035
64,ENSG00000273149.1,0.0064141825,0.720264317180617
65,ENSG00000280800.1,0.0064141825,0.720264317180617
66,COL1A2,0.0062972448,0.713656387665198
67,H1-2,0.0061406072,0.704845814977974
68,H1-4,0.0061406072,0.704845814977974
69,H4C3,0.0061406072,0.704845814977974
70,FOS,0.0059355354,0.696035242290749
71,IGFBP5,0.0057791166,0.691629955947137
72,MGP,0.0056437171,0.685022026431718
73,PENK,0.0056437171,0.685022026431718
74,HLA-B,0.0056106332,0.6784140969163
75,CEBPD,0.0053953844,0.674008810572687
76,TNFAIP3,0.0052816471,0.669603524229075
77,SLC2A3,0.0051317328,0.665198237885463
78,RPS2P5,0.0051079488,0.66079295154185
79,NR4A1,0.004956121,0.656387665198238
80,FAM183A,0.0048748096,0.651982378854626
81,EPHA5,0.0046555142,0.647577092511013
82,H1-1,0.0045154256,0.638766519823789
83,H1-3,0.0045154256,0.638766519823789
84,H1-5,0.0045154256,0.638766519823789
85,LUM,0.0044766562,0.629955947136564
86,FOSB,0.0044599451,0.625550660792952
87,S100A10,0.00442492,0.621145374449339
88,TYROBP,0.0044143778,0.616740088105727
89,HMGB2,0.0043716998,0.612334801762115
90,HLA-DPA1,0.0043657065,0.607929515418502
