X,gene,within_across_fold_weighted_score,rank
1,MALAT1,0.965520396,1
2,NEAT1,0.715856464,0.995495495495496
3,ENSG00000280800.1,0.640517336,0.990990990990991
4,IGFBP5,0.587797472,0.986486486486487
5,ENSG00000143248.13,0.58205224,0.981981981981982
6,CCN2,0.562095548,0.977477477477477
7,COL1A1,0.551568104,0.972972972972973
8,PENK,0.550064112,0.968468468468468
9,TAGLN,0.539241616,0.963963963963964
10,RPL7AP6,0.50147038,0.959459459459459
11,MMP11,0.496866184,0.954954954954955
12,CCN1,0.485658344,0.95045045045045
13,ACTA2,0.479911204,0.945945945945946
14,MGP,0.475476304,0.941441441441441
15,H1-4,0.47325512,0.936936936936937
16,SFRP4,0.46585178,0.932432432432432
17,JUNB,0.463359652,0.927927927927928
18,ENSG00000285417.1,0.445107188,0.923423423423423
19,H4C3,0.441377524,0.918918918918919
20,PTGDS,0.440879672,0.914414414414414
21,H2AC13,0.440621624,0.90990990990991
22,UBE2C,0.422005552,0.905405405405405
23,FOS,0.406541912,0.900900900900901
24,RPL13P12,0.404079258,0.896396396396396
25,COL4A1,0.392460988,0.891891891891892
26,ZFP36,0.382979056,0.887387387387387
27,ENSG00000263809.1,0.368044456,0.882882882882883
28,CD74,0.360845592,0.876126126126126
29,RNASE1,0.360845592,0.876126126126126
30,NDUFA4L2,0.343994264,0.869369369369369
31,HSPA1A,0.342496912,0.864864864864865
32,SRGN,0.341100352,0.86036036036036
33,SAT1,0.328185044,0.855855855855856
34,COL6A3,0.315914524,0.851351351351351
35,H4C6,0.308635888,0.846846846846847
36,XIST,0.307873628,0.842342342342342
37,HLA-DRA,0.298925308,0.837837837837838
38,COL4A2,0.287807004,0.833333333333333
39,WFDC2,0.28521604,0.828828828828829
40,MTCO1P12,0.277869369,0.824324324324324
41,A2M,0.269152,0.81981981981982
42,COL3A1,0.26673195,0.815315315315315
43,S100A10,0.259186068,0.810810810810811
44,HLA-B,0.25864746,0.806306306306306
45,THBS1,0.21479816,0.801801801801802
46,ENSG00000202198.1,0.208051473,0.795045045045045
47,RN7SK,0.208051473,0.795045045045045
48,COL1A2,0.204636129,0.788288288288288
49,NFKBIA,0.198989976,0.783783783783784
50,ENSG00000196656.7,0.189627681,0.779279279279279
51,ELF3,0.188450763,0.774774774774775
52,CNN1,0.186757875,0.77027027027027
53,SERPINE1,0.180657768,0.765765765765766
54,H1-2,0.174443852,0.761261261261261
55,HSPA6,0.173332758,0.756756756756757
56,CEBPD,0.168677343,0.752252252252252
57,VWF,0.160675989,0.747747747747748
58,HSPA1B,0.148196901,0.743243243243243
59,LGALS1,0.147409608,0.738738738738739
60,BGN,0.143705223,0.734234234234234
61,VCAN,0.140031186,0.72972972972973
62,MYL9,0.131578665,0.725225225225225
63,MKI67,0.131552922,0.720720720720721
64,TIMP1,0.129334722,0.716216216216216
65,KCNIP4-IT1,0.12894837,0.711711711711712
66,ENSG00000237550.5,0.125540565,0.707207207207207
67,JUN,0.12486349,0.702702702702703
68,DNAJB1,0.12388383,0.698198198198198
69,ITGA1,0.121009833,0.693693693693694
70,RPL21P16,0.118214556,0.689189189189189
71,COL12A1,0.117858435,0.684684684684685
72,H1-3,0.116443701,0.68018018018018
73,RPS2P5,0.108645722,0.675675675675676
74,SPARC,0.097299444,0.671171171171171
75,TNC,0.094935699,0.666666666666667
76,RPL15P3,0.094248261,0.662162162162162
77,LUM,0.089587952,0.657657657657658
78,HMGN2,0.084807693,0.653153153153153
79,TUBA1C,0.081148248,0.648648648648649
80,H1-1,0.077436468,0.644144144144144
81,KPNA2,0.076123512,0.63963963963964
82,TNFRSF12A,0.074992084,0.635135135135135
83,ATF3,0.07137771,0.630630630630631
84,CCL5,0.070370248,0.626126126126126
85,NR4A1,0.070323152,0.621621621621622
86,ENSG00000230202.1,0.06956527,0.617117117117117
87,PRSS23,0.066438588,0.612612612612613
88,ACTB,0.063494352,0.608108108108108
89,CAV1,0.063386318,0.603603603603604
90,TYROBP,0.062154226,0.599099099099099
91,CKB,0.06199839,0.592342342342342
92,MTND1P23,0.06199839,0.592342342342342
93,SULF1,0.060993252,0.585585585585586
94,IFI27,0.060221476,0.581081081081081
95,HSPH1,0.05608622,0.576576576576577
96,IGF2,0.052945162,0.56981981981982
97,RPL21P75,0.052945162,0.56981981981982
98,HLA-DRB1,0.04874226,0.563063063063063
99,GADD45B,0.047354074,0.558558558558559
100,CALD1,0.047177604,0.547297297297297
101,CSRP1,0.047177604,0.547297297297297
102,FILIP1L,0.047177604,0.547297297297297
103,TPM1,0.047177604,0.547297297297297
104,IL32,0.042073256,0.536036036036036
