fold,dimred,learner,auc
fold1,corrgpca,learner26cvsplit1,0.444444444444444
fold1,corrgpca,learner38cvsplit1,0.777777777777778
fold1,corrgpca,learner44cvsplit1,0.555555555555556
fold1,diffgen,learner06cvsplit1,0.333333333333333
fold1,diffgen,learner29cvsplit1,0.333333333333333
fold1,diffgen,learner49cvsplit1,0.444444444444444
fold1,hvg,learner04cvsplit1,0.777777777777778
fold1,hvg,learner09cvsplit1,0.777777777777778
fold1,hvg,learner19cvsplit1,0.555555555555556
fold1,pca,learner10cvsplit4,0.888888888888889
fold1,pca,learner20cvsplit4,1
fold1,pca,learner41cvsplit4,0.777777777777778
fold2,corrgpca,learner33cvsplit5,1
fold2,corrgpca,learner38cvsplit5,1
fold2,corrgpca,learner40cvsplit5,1
fold2,diffgen,learner13cvsplit1,0.444444444444444
fold2,diffgen,learner44cvsplit5,1
fold2,diffgen,learner50cvsplit5,1
fold2,hvg,learner05cvsplit4,0.777777777777778
fold2,hvg,learner34cvsplit2,1
fold2,hvg,learner42cvsplit2,1
fold2,pca,learner12cvsplit2,0.777777777777778
fold2,pca,learner14cvsplit2,0.888888888888889
fold2,pca,learner38cvsplit4,0.888888888888889
fold3,corrgpca,learner04cvsplit3,0.888888888888889
fold3,corrgpca,learner22cvsplit3,0.888888888888889
fold3,corrgpca,learner24cvsplit3,0.777777777777778
fold3,diffgen,learner28cvsplit3,0.777777777777778
fold3,diffgen,learner30cvsplit3,0.888888888888889
fold3,diffgen,learner50cvsplit3,0.888888888888889
fold3,hvg,learner06cvsplit1,0.555555555555556
fold3,hvg,learner24cvsplit1,0.555555555555556
fold3,hvg,learner45cvsplit1,0.666666666666667
fold3,pca,learner19cvsplit1,1
fold3,pca,learner34cvsplit1,0.888888888888889
fold3,pca,learner50cvsplit1,1
fold4,corrgpca,learner23cvsplit3,0.333333333333333
fold4,corrgpca,learner32cvsplit3,0.444444444444444
fold4,corrgpca,learner36cvsplit3,1
fold4,diffgen,learner06cvsplit3,0.222222222222222
fold4,diffgen,learner32cvsplit1,0.222222222222222
fold4,diffgen,learner32cvsplit3,0.222222222222222
fold4,hvg,learner32cvsplit5,0.222222222222222
fold4,hvg,learner44cvsplit3,0.222222222222222
fold4,hvg,learner50cvsplit3,0.555555555555556
fold4,pca,learner15cvsplit1,0.666666666666667
fold4,pca,learner28cvsplit1,0.333333333333333
fold4,pca,learner45cvsplit1,0.666666666666667
fold5,corrgpca,learner23cvsplit2,0.222222222222222
fold5,corrgpca,learner32cvsplit2,0.222222222222222
fold5,corrgpca,learner36cvsplit2,0.222222222222222
fold5,diffgen,learner06cvsplit1,0.333333333333333
fold5,diffgen,learner23cvsplit1,0.222222222222222
fold5,diffgen,learner32cvsplit1,0.222222222222222
fold5,hvg,learner01cvsplit4,0
fold5,hvg,learner06cvsplit4,0.222222222222222
fold5,hvg,learner23cvsplit4,0.222222222222222
fold5,pca,learner08cvsplit2,0.555555555555556
fold5,pca,learner08cvsplit4,0.666666666666667
fold5,pca,learner35cvsplit2,0.666666666666667
