learner_uid,dimred,auc
learner10cvsplit1,corrgpca,1
learner20cvsplit1,corrgpca,1
learner25cvsplit1,corrgpca,1
learner09cvsplit2,hvg,1
learner13cvsplit2,hvg,1
learner24cvsplit2,hvg,1
learner03cvsplit2,pca,1
learner18cvsplit2,pca,1
learner43cvsplit1,pca,1
learner38cvsplit2,diffgen,1
learner40cvsplit2,diffgen,0.777777777777778
learner47cvsplit2,diffgen,0.888888888888889
learner40cvsplit5,corrgpca,0.777777777777778
learner42cvsplit5,corrgpca,1
learner44cvsplit5,corrgpca,0.888888888888889
learner21cvsplit2,hvg,0.666666666666667
learner40cvsplit2,hvg,0.777777777777778
learner46cvsplit2,hvg,0.666666666666667
learner08cvsplit5,pca,0.777777777777778
learner27cvsplit1,pca,1
learner41cvsplit5,pca,0.777777777777778
learner10cvsplit2,diffgen,0.888888888888889
learner30cvsplit2,diffgen,1
learner44cvsplit2,diffgen,0.888888888888889
learner14cvsplit4,corrgpca,0.444444444444444
learner24cvsplit4,corrgpca,0.444444444444444
learner33cvsplit4,corrgpca,0.444444444444444
learner22cvsplit1,hvg,0.444444444444444
learner33cvsplit2,hvg,0.333333333333333
learner38cvsplit1,hvg,0.444444444444444
learner02cvsplit4,pca,0.333333333333333
learner16cvsplit4,pca,0.222222222222222
learner20cvsplit4,pca,0.222222222222222
learner08cvsplit1,diffgen,0.222222222222222
learner26cvsplit1,diffgen,0.222222222222222
learner49cvsplit1,diffgen,0.222222222222222
learner28cvsplit1,corrgpca,0.888888888888889
learner38cvsplit3,corrgpca,0.777777777777778
learner47cvsplit3,corrgpca,0.888888888888889
learner24cvsplit4,hvg,0.222222222222222
learner27cvsplit4,hvg,0.666666666666667
learner32cvsplit4,hvg,0.222222222222222
learner03cvsplit4,pca,1
learner15cvsplit1,pca,0.888888888888889
learner25cvsplit4,pca,0.777777777777778
learner02cvsplit1,diffgen,0.555555555555556
learner09cvsplit1,diffgen,0.555555555555556
learner34cvsplit1,diffgen,0.666666666666667
learner02cvsplit4,corrgpca,0.666666666666667
learner09cvsplit4,corrgpca,0.777777777777778
learner33cvsplit1,corrgpca,0.666666666666667
learner09cvsplit2,hvg,0.777777777777778
learner30cvsplit2,hvg,0.888888888888889
learner33cvsplit2,hvg,0.555555555555556
learner10cvsplit1,pca,1
learner14cvsplit4,pca,0.666666666666667
learner22cvsplit4,pca,0.777777777777778
learner15cvsplit2,diffgen,0.777777777777778
learner33cvsplit2,diffgen,0.666666666666667
learner41cvsplit2,diffgen,0.777777777777778
