learner_uid,dimred,auc,fold
learner10cvsplit1,corrgpca,1,fold1
learner20cvsplit1,corrgpca,1,fold1
learner25cvsplit1,corrgpca,1,fold1
learner09cvsplit2,hvg,1,fold1
learner13cvsplit2,hvg,1,fold1
learner24cvsplit2,hvg,1,fold1
learner03cvsplit2,pca,1,fold1
learner18cvsplit2,pca,1,fold1
learner43cvsplit1,pca,1,fold1
learner38cvsplit2,diffgen,1,fold1
learner40cvsplit2,diffgen,0.777777777777778,fold1
learner47cvsplit2,diffgen,0.888888888888889,fold1
learner40cvsplit5,corrgpca,0.777777777777778,fold2
learner42cvsplit5,corrgpca,1,fold2
learner44cvsplit5,corrgpca,0.888888888888889,fold2
learner21cvsplit2,hvg,0.666666666666667,fold2
learner40cvsplit2,hvg,0.777777777777778,fold2
learner46cvsplit2,hvg,0.666666666666667,fold2
learner08cvsplit5,pca,0.777777777777778,fold2
learner27cvsplit1,pca,1,fold2
learner41cvsplit5,pca,0.777777777777778,fold2
learner10cvsplit2,diffgen,0.888888888888889,fold2
learner30cvsplit2,diffgen,1,fold2
learner44cvsplit2,diffgen,0.888888888888889,fold2
learner14cvsplit4,corrgpca,0.444444444444444,fold3
learner24cvsplit4,corrgpca,0.444444444444444,fold3
learner33cvsplit4,corrgpca,0.444444444444444,fold3
learner22cvsplit1,hvg,0.444444444444444,fold3
learner33cvsplit2,hvg,0.333333333333333,fold3
learner38cvsplit1,hvg,0.444444444444444,fold3
learner02cvsplit4,pca,0.333333333333333,fold3
learner16cvsplit4,pca,0.222222222222222,fold3
learner20cvsplit4,pca,0.222222222222222,fold3
learner08cvsplit1,diffgen,0.222222222222222,fold3
learner26cvsplit1,diffgen,0.222222222222222,fold3
learner49cvsplit1,diffgen,0.222222222222222,fold3
learner28cvsplit1,corrgpca,0.888888888888889,fold4
learner38cvsplit3,corrgpca,0.777777777777778,fold4
learner47cvsplit3,corrgpca,0.888888888888889,fold4
learner24cvsplit4,hvg,0.222222222222222,fold4
learner27cvsplit4,hvg,0.666666666666667,fold4
learner32cvsplit4,hvg,0.222222222222222,fold4
learner03cvsplit4,pca,1,fold4
learner15cvsplit1,pca,0.888888888888889,fold4
learner25cvsplit4,pca,0.777777777777778,fold4
learner02cvsplit1,diffgen,0.555555555555556,fold4
learner09cvsplit1,diffgen,0.555555555555556,fold4
learner34cvsplit1,diffgen,0.666666666666667,fold4
learner02cvsplit4,corrgpca,0.666666666666667,fold5
learner09cvsplit4,corrgpca,0.777777777777778,fold5
learner33cvsplit1,corrgpca,0.666666666666667,fold5
learner09cvsplit2,hvg,0.777777777777778,fold5
learner30cvsplit2,hvg,0.888888888888889,fold5
learner33cvsplit2,hvg,0.555555555555556,fold5
learner10cvsplit1,pca,1,fold5
learner14cvsplit4,pca,0.666666666666667,fold5
learner22cvsplit4,pca,0.777777777777778,fold5
learner15cvsplit2,diffgen,0.777777777777778,fold5
learner33cvsplit2,diffgen,0.666666666666667,fold5
learner41cvsplit2,diffgen,0.777777777777778,fold5
