"","fold","cvsplit","dimred","learner_id","auc","cell_selection","Model_training_phase","learner"
"1","fold1","CVsplit1","corrgpca","learner01",1,"all_cells","validation",NA
"2","fold1","CVsplit1","corrgpca","learner02",1,"all_cells","validation",NA
"3","fold1","CVsplit1","corrgpca","learner03",1,"all_cells","validation",NA
"4","fold1","CVsplit1","corrgpca","learner04",1,"all_cells","validation",NA
"5","fold1","CVsplit1","corrgpca","learner05",1,"all_cells","validation",NA
"6","fold1","CVsplit1","corrgpca","learner06",1,"all_cells","validation",NA
"7","fold1","CVsplit1","corrgpca","learner07",1,"all_cells","validation",NA
"8","fold1","CVsplit1","corrgpca","learner08",1,"all_cells","validation",NA
"9","fold1","CVsplit1","corrgpca","learner09",1,"all_cells","validation",NA
"10","fold1","CVsplit1","corrgpca","learner10",1,"all_cells","validation",NA
"11","fold1","CVsplit1","corrgpca","learner11",1,"all_cells","validation",NA
"12","fold1","CVsplit1","corrgpca","learner12",1,"all_cells","validation",NA
"13","fold1","CVsplit1","corrgpca","learner13",1,"all_cells","validation",NA
"14","fold1","CVsplit1","corrgpca","learner14",1,"all_cells","validation",NA
"15","fold1","CVsplit1","corrgpca","learner15",1,"all_cells","validation",NA
"16","fold1","CVsplit1","corrgpca","learner16",1,"all_cells","validation",NA
"17","fold1","CVsplit1","corrgpca","learner17",1,"all_cells","validation",NA
"18","fold1","CVsplit1","corrgpca","learner18",1,"all_cells","validation",NA
"19","fold1","CVsplit1","corrgpca","learner19",1,"all_cells","validation",NA
"20","fold1","CVsplit1","corrgpca","learner20",1,"all_cells","validation",NA
"21","fold1","CVsplit1","corrgpca","learner21",1,"all_cells","validation",NA
"22","fold1","CVsplit1","corrgpca","learner22",1,"all_cells","validation",NA
"23","fold1","CVsplit1","corrgpca","learner23",1,"all_cells","validation",NA
"24","fold1","CVsplit1","corrgpca","learner24",1,"all_cells","validation",NA
"25","fold1","CVsplit1","corrgpca","learner25",1,"all_cells","validation",NA
"26","fold1","CVsplit1","corrgpca","learner26",1,"all_cells","validation",NA
"27","fold1","CVsplit1","corrgpca","learner27",1,"all_cells","validation",NA
"28","fold1","CVsplit1","corrgpca","learner28",1,"all_cells","validation",NA
"29","fold1","CVsplit1","corrgpca","learner29",1,"all_cells","validation",NA
"30","fold1","CVsplit1","corrgpca","learner30",1,"all_cells","validation",NA
"31","fold1","CVsplit1","corrgpca","learner31",1,"all_cells","validation",NA
"32","fold1","CVsplit1","corrgpca","learner32",1,"all_cells","validation",NA
